ifc_element_type,ifc_version,ltcm_class_primary,ltcm_class_secondary,memory_types_associated,asset_class,notes
IfcBearing,IFC 4.3,ltcm:BearingAsset,ltcm:FailureMode,"Episodic,Semantic,Predictive",bridge,"Primary element for Case C bearing degradation records. Failure mode: BearingSteelCorrosion + BearingSlidingLayerWear."
IfcBeam,IFC 4.3,ltcm:StructuralElement,ltcm:MaterialProperty,"Episodic,Semantic",bridge,"PSC girder elements. Material property includes concrete grade (C60) and design strength."
IfcBridgePart,IFC 4.3,ltcm:EventAnchor,,"Episodic,Procedural",bridge,"Span-level event anchor for inspection and work order records."
IfcColumn,IFC 4.3,ltcm:StructuralElement,,"Episodic,Semantic",bridge,"Pier/column elements. Carbonation depth monitoring anchor."
IfcSlab,IFC 4.3,ltcm:StructuralElement,ltcm:ConditionNode,"Episodic,Predictive",bridge,"Bridge deck slab. Linked to reinforcement corrosion and concrete cover records."
IfcPlate,IFC 4.3,ltcm:StructuralElement,,"Episodic,Semantic",bridge,"Steel plate elements for steel bridges. Fatigue crack growth anchor."
IfcMember,IFC 4.3,ltcm:StructuralElement,,"Episodic,Semantic",bridge,"Transverse and longitudinal member elements."
IfcWall,IFC 4.3,ltcm:StructuralElement,,"Episodic",bridge,"Abutment wing wall elements."
IfcFooting,IFC 4.3,ltcm:StructuralElement,,"Episodic,Semantic",bridge,"Foundation element. Linked to settlement and scour monitoring."
IfcAlignment,IFC 4.3,ltcm:GeometricAsset,ltcm:TrackSettlement,"Episodic,Predictive",railway,"Primary element for Case A railway track geometry. Sato-Odaka settlement model anchor."
IfcAlignmentHorizontal,IFC 4.3,ltcm:GeometricAsset,,"Episodic",railway,"Horizontal alignment component. Linked to cant and twist records."
IfcAlignmentVertical,IFC 4.3,ltcm:GeometricAsset,ltcm:TrackSettlement,"Episodic,Predictive",railway,"Vertical alignment component. Primary anchor for settlement sensor readings."
IfcAlignmentCant,IFC 4.3,ltcm:GeometricAsset,,"Episodic",railway,"Track cant (superelevation) component."
IfcFacilityPart,IFC 4.3,ltcm:InfrastructureAsset,,"Episodic,Procedural",railway,"Railway section-level grouping for maintenance zone records."
IfcRail,IFC 4.3,ltcm:StructuralElement,,"Episodic,Semantic",railway,"Rail element. Linked to head wear and surface defect records."
IfcTrackElement,IFC 4.3,ltcm:GeometricAsset,,"Episodic,Semantic",railway,"Generic track element (sleeper, fastener, etc.)."
IfcSlab (ballast),IFC 4.3,ltcm:GeometricAsset,,"Episodic,Predictive",railway,"Ballast layer. Linked to GPR sub-ballast void records."
IfcPavement,IFC 4.3,ltcm:PavementAsset,ltcm:ConditionNode,"Episodic,Predictive",road,"Primary element for Case B expressway. PCI degradation model anchor."
IfcPavementLayer,IFC 4.3,ltcm:PavementAsset,,"Episodic,Semantic",road,"Individual pavement layer (surface/binder/base/sub-base). FWD modulus anchor."
IfcKerb,IFC 4.3,ltcm:StructuralElement,,"Episodic",road,"Kerb element. Linked to drainage condition records."
IfcRoad,IFC 4.3,ltcm:RoadAsset,,"Episodic,Procedural",road,"Road segment grouping element."
IfcFacility (road),IFC 4.3,ltcm:RoadAsset,,"Episodic,Procedural",road,"Facility-level road asset grouping."
IfcSign,IFC 4.3,ltcm:InfrastructureAsset,,"Episodic",road,"Traffic sign element. Linked to retroreflectivity records."
IfcSensor,IFC 4.3,ltcm:SensorReading,,"Episodic",all,"IoT sensor instance. Provides linkage between sensor ID and asset GUID."
IfcActuator,IFC 4.3,ltcm:ProceduralGraph,,"Procedural",all,"Control actuator for automated maintenance systems."
IfcController,IFC 4.3,ltcm:ProceduralGraph,,"Procedural",all,"Control system element for automated monitoring."
IfcDistributionElement,IFC 4.3,ltcm:StructuralElement,,"Episodic",all,"MEP distribution elements in infrastructure."
IfcJunctionBox,IFC 4.3,ltcm:StructuralElement,,"Episodic",all,"Electrical junction box (traffic control, monitoring)."
IfcCableCarrierSegment,IFC 4.3,ltcm:StructuralElement,,"Episodic",all,"Cable conduit for sensor wiring."
IfcDrainageStructure,IFC 4.3,ltcm:InfrastructureAsset,,"Episodic,Semantic",all,"Drainage element. Linked to moisture ingress records."
IfcEarthworksCut,IFC 4.3,ltcm:GeometricAsset,,"Episodic",all,"Cut slope element. Linked to slope stability records."
IfcEarthworksFill,IFC 4.3,ltcm:GeometricAsset,,"Episodic,Predictive",all,"Embankment element. Settlement monitoring anchor."
IfcGeomodel,IFC 4.3,ltcm:GeometricAsset,,"Episodic,Semantic",all,"Geotechnical model element."
IfcGeoSlice,IFC 4.3,ltcm:GeometricAsset,,"Episodic",all,"Geotechnical layer slice."
IfcReinforcingBar,IFC 4.3,ltcm:StructuralElement,ltcm:MaterialProperty,"Episodic,Semantic",all,"Rebar element. Linked to NDT and corrosion records."
IfcTendon,IFC 4.3,ltcm:StructuralElement,ltcm:MaterialProperty,"Episodic,Predictive",bridge,"Prestressing tendon element. Linked to prestress loss and wire break records."
IfcTendonAnchorage,IFC 4.3,ltcm:StructuralElement,,"Episodic,Semantic",bridge,"Tendon anchorage device."
IfcVibrationDamper,IFC 4.3,ltcm:StructuralElement,,"Episodic",bridge,"Vibration damper element."
